Address,City,Degree,Experience,Feedback,Fees,Name,Rating,Specialization
Lead Rehabs,Chennai,"BPTh/BPT, MPTh/MPT - Cardiovascular & Pulmonary Physiotherapy",20,,1000,Dr. M. P. Parthiban   (Physiotherapist),5.0,Physiotherapist
Rajan Dental Care,Chennai,BDS,3,,500,Dr. Jemima Ernest,5.0,Dentist
Rajan Dental Care,Chennai,"BDS, MDS - Oral & Maxillofacial Surgery",11,,500,Dr. Srinivasan K,5.0,Dentist
Rajan Dental Care,Chennai,"BDS, MDS - Prosthodontics",13,,500,Dr. Saravana Kumar,5.0,Dentist
Rajan Dental Care,Chennai,"BDS, MDS - Oral Medicine and Radiology",15,,500,Dr. Anand B,5.0,Dentist
Mullai Dental Clinic,Chennai,BDS,9,,100,Dr. Sasi Rekha R,,Dentist
Rajan Dental Care,Chennai,BDS,20,,500,Dr. Kavitha Balamurugan,5.0,Dentist
Iswarya Fertility Centre,Chennai,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",7,,300,Dr. Divya Subramani,4.5,Gynecologist/obstetrician
Apollo Fertility,Chennai,"MBBS, MD - Obstetrics & Gynaecology",5,,500,Dr. Monisha M.R,,Gynecologist/obstetrician
ReLiva Physiotherapy & Rehab,Chennai,BPTh/BPT,10,,500,Dr. Bula Joyce   (Physiotherapist),,Physiotherapist
"Buddhi Clinic - Porur,Buddhi Clinic - Velachery,Buddhi Clinic - Adyar,Trimed,Buddhi Clinic - Teynampet",Chennai,BAMS,10,,500,Dr. A. Agasthiya,"5.0,3.5,4.5",Ayurveda
K R Dental Care,Chennai,BDS,9,,100,Dr. K. Kamal Kamesh,,Dentist
Prashanth Superspeciality Hospital,Chennai,"MBBS, MS - General Surgery, MCh - Plastic Surgery",36,,500,Dr. Tamilchelvan,5.0,Plastic Surgeon
Prashanth Superspeciality Hospital,Chennai,"MBBS, MS - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",12,"I visited the doctor last Saturday with knee pain. 3 months back I had similar problem. I went to him. He gave few tablets and asked to do physiotherapy for 5 days. This time again he suggested physiotherapy and knee excercise. I paid the consultation fee and went for physiotherapy again. Then he asked me to take few blood test. since I have taken a master health chk up 3 months back, I told him I have already taken those test. He checked the report and told me that the test he has suggested was not covered in the master health chk up and told me to take fresh test. When I checked in his clinic, the test cost was 4000.,When I went to show the test report, he again charged me consultation fee. He gave few tablets depending on the report, Pls think twice before visiting him, ",500,Dr. Sivabalan Thiyagarajan,5.0,Orthopedist
K R Dental Care,Chennai,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",7,It was a good experience.. I hope he will align my teeth properly.. His medical explanation was really good.. now only I really understand my issue with the teeth and found out my solution.. I feel comfortable with him..,100,Dr. Viviliyan,,Dentist
Prashanth Superspeciality Hospital,Chennai,"MBBS, MD - General Medicine, DM - Nephrology",11,"We went for diabetes treatment, Doctor examined and directed us with appropriate treatment. ,Doctor balamurugan care good. nursing care good. very supportive, clearly explain the health issues. thanks to all.,Dr. Balamurugan sir service and treatment was very good ....  Hospital staff given good care and clean and neat ,Came for checkup. Very good person. Thank you..",500,Dr. Balamurugan B,5.0,Nephrologist
"Positive Homeopathy,Dr.Care Homeopathy,Positive Homeopathy,Dr.Care Homeopathy,Dr.Care Homeopathy,Dr.Care Homeopathy,Dr.Care Homeopathy,Positive Homeopathy,Positive Homeopathy,Positive Homeopathy,Positive Homeopathy,Positive Homeopathy,Dr.Care Homeopathy,Positive Homeopathy,Positive Homeopathy,Dr.Care Homeopathy,Positive Homeopathy,Dr.Care Homeopathy,Dr.Care Homeopathy,Positive Homeopathy,Positive Homeopathy,Dr.Care Homeopathy,Positive Homeopathy,Positive Homeopathy Simmakkal,Positive Homeopathy,Positive Homeopathy,Positive Homeopathy",Hyderabad,BHMS,22,"Nice treatment for autism now my grand son  was good thanks to  A.M REDDY SIR THANKS A LOT....thanks to positive homeopathy,When I was using for thyroid problem from dr.murthy sir in positive homeopathy kachiguda at that time my thyroid levels are controled and wait also gain think to Dr.murthy sir.   ,They don't give the prescription to the patient.",999,Dr. AM Reddy,"3.5,5.0,5.0,3.5,5.0,5.0",Homoeopath
Smile Makers Speciality Dental Care,Chennai,"MDS - Periodontology and Oral Implantology, BDS",14,"Great Human and Kai Raasi, He is good at explaining as well handling cases, be patient and follow the tips to get well.,All the doctors in this hospital are Highly qualified awesome professionals with PhD degrees ,Very satisfying, very friendly and caring personality, Good on you Doc Thankyou.I would Definitely Recommend to my family and friends.keep up work ,Excellent and good in explaining the issues to patients convenience. And well experianced. I recommend to everyone... ",200,Dr. R Swaminathan,,Dentist
"The Mind Care Center For Mental Health,The Mind Care Center For Mental Health",Chennai,PG Diploma in Counselling Psychology,8,,500,Mr. Lt Col N T Rajan,5.0,Psychologist
"Trimed,Buddhi Clinic - Velachery,Buddhi Clinic - Adyar,Buddhi Clinic - Porur,Buddhi Clinic - Teynampet",Chennai,MPT - Orthopedic Physiotherapy,14,"She examined me thoroughly and suggested the treatment, this was my first visit but i am satisfied with the doctor treatment, she was kind, now i am not facing any problem",500,Dr. Janet Priya   (Physiotherapist),"5.0,3.5,4.5",Physiotherapist
Chennai Breast Center,Chennai,"MBBS, DNB - General Surgery",29,"Whenn the report was infront of me the doctor told that i was almost nearest to that disease soo i became nervous and i started thinking thatt what if i had ghat disease sooi started crying thenn doctor explained me in a friendly way that i am lucky that i did not suffer from that disease....thatt was a great experience for me with the doctor...,Madam is talking to the patient with concern. Good hearted dr. Very easy to approach and dr explained repeatedly the procedure of operation and recovery.,I had a boil on my chest.  The doctor checked and explained it's only a skin problem and nothing to worry about cancer.  She was very friendly and did not recommended any unwanted tests. I visited on a Saturday even though the wait time is much better compared to other hospitals. ,I accompanied my friend for her lump treatment to the doctor. Trust me she have some magic in her treatment. She is very polite and diagnose the disease accurately and gives the treatment accordingly. I highly recommend this doctor. My friend is absolutely fine now. Thanks to the doctor ",700,Dr. Selvi Radhakrishna,5.0,General Physician
Star Hpertension and Diabetes Clinic,Chennai,MBBS,11,He is very friendly and give various recommendation and cost effective. Good doctor to have as family doctor,150,Dr. Sheaben Arasakumar,,General Physician
C.M.Hospital,Chennai,MBBS,36,"Superb Doctor humane, motherly, professional with clarity in thinkingand action.Anyone can totally trust themselves in her care,I feel very confident through her lovabale taking. Her treatment was very parental care. I feel that parental care is very important for patients to recover from the illness. So I feel very kind and lovabale doctor.,1.i met her on counseling time only..after that she came 3 days,same night we forcefully discharged2. while entering hospital platelet count 1.32L but while leaving 40K3. while joining fever 102 and leaving 102 4.most of the trips and tablets suggested by working nurse it self and while discharge the letter prepared by nurse4.i didn't get detailed treatment report and attached report which got from them",300,Dr. Chandrika Rhiruvelangadu Sivamani,5.0,General Physician
"Dentistree Dental Hospitals,Dentistree Dental Hospitals,Dentistree Dental Hospitals,Dentistree Dental Hospitals,Dentistree Dental Hospitals,Dentistree Dental Hospitals",Chennai,BDS,24,,100,Dr. Vijayakumar,,Dentist
"Parasu Dental Hospital,Parasu Dental Hospital,Parasu Dental Hospital",Chennai,BDS,11,,500,Dr. Subash Sharma,"5.0,5.0,5.0",Dentist
"Parasu Dental Hospital,Parasu Dental Hospital,Parasu Dental Hospital",Chennai,"BDS, MDS - Conservative Dentistry & Endodontics",10,,500,Dr. Sharan Kumar,"5.0,5.0,5.0",Dentist
"Buddhi Clinic - Velachery,Buddhi Clinic - Adyar,Trimed,Buddhi Clinic - Porur,Buddhi Clinic - Teynampet",Chennai,MPT - Orthopedic Physiotherapy,6,,500,Dr. Muthukumar   (Physiotherapist),"5.0,3.5,4.5",Physiotherapist
"Buddhi Clinic - Porur,Buddhi Clinic - Velachery,Buddhi Clinic - Adyar,Trimed,Buddhi Clinic - Teynampet",Chennai,"MPTh/MPT - Advanced PT in Neurology, MSc",11,,500,Mr. Jerald M Yuvaraj,"5.0,3.5,4.5",Physiotherapist
"Dr Batra's Positive Health Clinic Pvt Ltd,Dr Batra's Positive Health Clinic Pvt Ltd,Dr Batra's Positive Health Clinic Pvt Ltd,Dr Batra's Positive Health Clinic Pvt Ltd,Dr Batra's Positive Health Clinic Pvt Ltd,Dr Batra's Positive Health Clinic Pvt Ltd,Dr Batra's Positive Health Clinic Pvt Ltd,Dr Batra's Positive Health Clinic Pvt Ltd,Dr Batra's Positive Health Clinic Pvt Ltd,Dr Batra's Positive Health Clinic Pvt Ltd,Dr Batra's Positive Health Clinic Pvt Ltd,Dr Batra's Positive Health Clinic Pvt Ltd,Dr Batra's Positive Health Clinic Pvt Ltd,Dr Batra's Positive Health Clinic Pvt Ltd,Dr Batra's Positive Health Clinic Pvt Ltd,Dr Batra's Positive Health Clinic Pvt Ltd,Dr Batra's Positive Health Clinic Pvt Ltd",Visakhapatnam,BHMS,9,,450,Dr. Ravi Kant Kaushik,,Homoeopath
Phoenix Mind Care,Chennai,MD - Physician,19,"doctor vignesh helped me out in a previous hospital he was amazing with me, he was very understanding with my mental health. And helped me out alot can’t fault him in any way ,Dr. Vignesh Sakthivel is certainly Scientific in approach.  He solved my problem through Hypnotherapy in Just two sessions. I thank him for his  great 'friendly and confidence building' approach.  ,I was looking for a child counseling, before walking in I enquired that whether he will be able to counsel for children. After getting his confirmation I walked in, finally consultation ended with referring to another child psychologist. I don't feel any value for 1000rs I paid for consultation. Sometimes I feel both of our time was just wasted.,I, P. Narasimhan aged 62 consulted Dr. Vignesh Sakthivel for my illness ANGER CONTROL.  My experience with him is wonderful ,  I got my problem is solved and I am much satisfied. Thanks to Dr. Vignesh Sakthivel.",1000,Dr. Vignesh Sakthivel,,Psychiatrist
Dr. Leena Clinic,Chennai,"MBBS, Diploma in Dermatology",33,"I went for skin itching.,For any medical ailment, for any member of our family, we first approach Dr.Leena and go by her advice. She has been our family doctor for nearly 10 years. She  very patiently listens to our problem, and takes pain to explain to us what could be the cause, and provides treatment. On every occasion, we have recovered fully to our satisfaction. Whenever necessary, she would suggest to take blood or urine test, to help her in the diagnosis. If there is a need, she would also suggest us to consult a specialist in a reputed hospital for a second opinion. We would strongly recommend Dr.Leena without any reservations.,We know Dr. Leena for more than 3 decades now. Leena Chechi is our family doctor and i consult her for any physical problems. The patience she has to listen to our problems by itself gets a confidence in her. Also she doesnt prescribe medicines just for it but the simple prescriptions she provides really cures. Her clinic is well maintained and more than anything we dont need to wait long to meet her which is highly important for any patient who wants to get back soon and rest. I highly recommend her,Long wait time. No proper infrastructure-lack of chairs to sit. Lots of mosquitoes. No proper repellant. Enclosure for patients with fans to be provided.",250,Dr. Leena. K,5.0,General Physician
Sree Guru Heart Clinic,Chennai,"MBBS, MD - General Medicine, DM - Cardiology",24,"He listens to patient. Advice what is really required no bluffing acts. Explains everything. Trusted doctor ,DR GURU PRASAD is so friendly and humble and listens patiently. ,Visited for consultation  whether I can take medicine proscribed by a general phisician. His staff suggested, ,he immediately said heart failure n kidney too. and asked to get admitted immediately in Miot, as he s working there. He was fully talking abt getting admitted, if patient will be unnecessarily dead. this is wat he said. but after taking the tests n all, he said, yeah may be as u said its genetic prob, take rest n continue few tablets. Fully was talking to his junior doc reg the patient but failed to explain it to us. The receptionist's way of talking also needs to b improved. She just asked if anyone died out of heart attack in ur family, instead she should have asked if any history of heart problems in ur family. Omg, lastly, the medicine they gave was abt to expire next month. I will really not recommend this clinic. Not a good experience.",400,Dr. Prof Guru Prasad Sogunuru,,Cardiologist
H2 Clinic,Chennai,MBBS,17,"I visited him for gastric problem for my father. He cured it within two to three days. Before visiting him, I visited another doctor but didn't recover even after taking full course of medicine as prescribed. ,Happy with Doctor friendliness, explanation of the health issue, query clarifications, Treatment satisfaction.Doctor is very patient & user friendly. Diagnosis and explanation of the diseases to the patients are awesome. The way of handling the patients with utmost care are exceptional irrespective of the time spending with patients. I strongly recommend to see him for issues like Viral fever,diabetes. Really happy to get such doctors. ,I like His approachness to patient which is very nice., his approach to patients are cool. Very positive and reliable.   He also make you understand your problem and how to go about it.",200,Dr. Hariharan V.S,5.0,General Physician
RMR Medical Centre,Chennai,MBBS,40,,450,Dr. U Rammohan Rau,,General Physician
London Harley Street Women and Fertility Centre,Chennai,MBBS,25,"I’m very thankful to Dr. Leo and to Dr. Parimalam. ,I had visited the hospital for my pregnancy, since this is my first pregnancy I was nervous but dr.parimalam ramanathan was very friendly and addressed all my queries. She was available on phone and kept track of my health in the last trimester and when it was time for my delivery . She provided the best medical help and       ,Definitely this(my) doctor makes difference. Welcomes you everytime with warm smile. May the certifications are equal to other doctors but not the confidence we get in his care. He is the most talented, professional, empathetic doctor and person I have ever met. The way he dealt with my early pregnancy complications and the confidence he has put in me is unbelievable.  I am very happy to say he is a great doctor who knows the art of healing wisely and smartly with lots of patience and understanding towards the complications.,He gave detailed information and awareness, purpose of what is growth scan, early pregnancy scan. Explanation about baby growth helped me a lot to go for normal delivery. I am very much thankful to parimalam mam and leopard sir. I would strongly recommend the people to parimalam mam",500,Dr. D Leonard,5.0,General Physician
MV Hospital for Diabetes,Chennai,"MBBS, DNB - General Medicine,  FRCP",30,"It was quiet systematic and well planned execution of all the investigations unlike other places wherein it was messy and chaotic.we could get individual attention and care.The food was simple and enough to take care of one's appetite.The Nutrionist gave a good account of the disease and gave good advice reg food .To top it all Dr .Vijay gave a patient listening and was kind enough to give his e.mail address and encouraged us to communicate.,Very thing is very well. Excellent staff.and experience is good I'm satisfied. Dr vijay vishwanathan was him  very treatment...,There has been lot of improvement in the services than before and breakfast is excellent. I meet my needs here. ,Excellent and keep up the same services . Dr.Vijay Vishwanathan is always good. Very much happy to meet him.thank you. .",950,Dr. Vijay Viswanathan,5.0,General Physician
Suman Clinic,Chennai,MBBS,28,"                   As this was my first pregnancy I wanted the Doctor to be experienced and easily approachable. My search ended up in Suman clinic and with Dr Sumana there whom was recommended by my colleague. I found her very soft natured and listens to our concerns very carefully during every visit. She never prescribed me any extra medicines apart from the calcium and iron supplements. During my visits to her I always insisted for an NVD and accordingly she advised. Finally one night when I faced fluid discharge I.e., 26 days prior my due date I called up her clinic and the duty doctor referred me to Apollo women hospital. There everything was ready on my arrival and Dr sumana spoke to me on phone and asked me to wait for the delivery to be normal. In not more than 4 hours I delivered a beautiful princess in presence of Dr sumana. Thanks Doctor for making my pregnancy a beautiful experience. ,My mom is having post meno pausal problem which later found cysts in the uterus in our area kolkata doctors said there is no hope for this patient but Mam Dr Sumana Manohar she is one person gave a second life to my mother she is the best doctor i have ever seen from 6 am to 6 pm she always there for the patients she is a very resposible doctor and explains complicated problem in a simple way . Her judgement is very good . Touch Wood i recommend here to any patient who is having gynae problems for me she is an angel.,I had large subserous fibroid of 17 cm with 14 week pregnancy. I met with many gynaecologist of West Bengal and in other state of india. All the doctors said that nothing is to be done in this case. With time size of fibroid and the baby were growing simultaneously. So in future,there could have been life risk for baby and myself. I was very much upset. Then I came to Dr. Sumona Madam's name. I took appointment and met with her. She advised me to do some tests. After going through the report she advised that the fibroid can be removed easily keeping the baby safe. Earlier I did not believe this. Because I had already consulted with many gynaecologist in india. But I did not have other option. Sumona madam was very much confident. Her confidence about the surgery gave us a light of hope. We were agreed and the operation was done successfully, the fibroid was removed keeping the baby totally safe. Within 18 hours of completion of operation i was able to walk alone and was discharged from Apollo within 24 hours of operation. Dr. Sumona madam is really goddess to us. So if any one has any gynaecological problem do meet with Sumona madam once. She is an excellent doctor and has expertise in surgery.  Dr. Sumona madam will definitely advice you the best remedy for you problem. In my case no doctor adviced me that the fibroid can be removed even in pregnancy to safe mother's life. But Sumona madam made this possible. ,I had PCOS problem and difficulty with conceiving. My cousin referred Dr Sumana. She is very polite and friendly and doesn't scare us unnecessarily.  I had a normal delivery with induced pain. She helped me feel very comfortable through out my labour. The only issue is the waiting time at the clinic. However, I understand the busy schedule of the doctor and never had any complaints regarding that. Patients should plan accordingly.",500,Dr. Sumana Manohar,3.5,General Physician
Vbn Murthy,Chennai,MBBS,36,"I have known Dr.V.B.N for a few years, and he had earlier treated my fathers Diabetic Foot wounds which healed so well in spite of it being a bad condition.  ,Dr. VBN is a truly exceptional doctor. We found a well wisher, an advisor and a friend in him. Problems we were dealing with for a really long time, were resolved in a very simple and straightforward manner. We received valuable attention and care, which we are grateful for. Its rare to find a doctor who cares as much about his patients. ,I was advised by the doctor initially at an hospital to under go plastic surgery which will help my wound in toe to heal. As it already lost its skin and had visible bones. Then I asked second opinion to 3 doctors who suggested the same thing. Various parts of his treatment proved effective and I can see my wound healing now.advise you to visit him in case of any feeling of major injuries in your body which will help the doctor and yourself to prevent major problems from the beginning itself. Please hurry and do not give any chances for major medical procedures in the future,It has been a nice experience. Doctor was positive .We could feel that the doctor was systematically removing our problem with less medication. He talks only what is required. He does not terrify you with illness. We are confident that he will take care of our illness and correct our difficulty. Thank you.",750,Dr. Narayanamurthy,5.0,General Physician
Aishwaryaa clinic,Chennai,"MBBS, DM - Neurology, MD - General Medicine",24," treating pts with patience.friendly doctor.im a 5 yrs experience with him.Good,Listening to our concern of issue in body and answering  in politely way. Handling in good manner . ,Dr is very co operative when we asked about our clinical information. Dr has clearly clarifies all the questions asked about our health conditions.,Well experienced doctor,Very friendly and explain the problem. Easy to communicate thank u so much sir",400,Dr. J.Manickavasagam,5.0,Neurologist
Dr. Kamakshi Memorial Hospital,Chennai,MBBS,33,"dr prem sekar is easily accessible.could explain everything related to my babys heart defect,",600,Dr. R.Prem Sekar,4.5,General Physician
Dr. R. V. M. Varma's Clinic,Chennai,MBBS,41,,100,Dr. R. V. M. Varma,,General Physician
Kiruba Clinic,Chennai,MBBS,25,"Took my nephew with fever and she was prompt in responding to his attention.,This was a few months back,Today evening I visited to her chamber. She is very talkable & what I said her she heard me very well. She has given me some medicine. I started that & hopefully I will good soon. She has given to me EGC & ECHO also. It was my luck that I have high B.P ",150,Dr. M Latha Rajkumar,,General Physician
Phoenix Mind Care,Chennai,MBBS,17,"Reliable, friendly, you can count on the doctors for help and support at any time. They respond to you and never ignore or leave you in the dark. They will come to your rescue if you ask for it.,Visited Dr. Vijayalakshmi for our 6 year olds behavioural issue. Honestly din’t feel like meeting a doctor.. it was just like visiting a senceable friend who would listen to every word you say, analyse and advise the best for you. ",1000,Dr. J. Vijayalakshmi,,General Physician
Sai Clinic,Chennai,"MBBS, Diploma in Anesthesiology",37,,100,Dr. M Amudha,,General Physician
Prasanna Clinic,Chennai,"MBBS, MD - General Medicine",42,,300,Dr. V Siva Kumar,,General Physician
Arokya Hospital,Chennai,"MBBS, Diploma in Otorhinolaryngology (DLO)",18,,300,Dr. J Vinaignan,,General Physician
Bharathirajaa Hospital,Chennai,"MBBS, MS - Orthopaedics, Diploma in Orthopaedics, M.Ch - Orthopaedics",23,"Yes.. Really i like the treatment of ortho dr Mr. Arumugam ....,.. his caring is good .. he his giving more attention to his patients .... untill patient cure he is thinking abt them .... very genuine person ",500,Dr. Arumugam,3.5,General Physician
Ambaal Sakthi Clinic,Chennai,"MBBS, MD - General Medicine, DM - Neurology",28,"Dr. Kannan is very good doctor. He has a great expertise in diagnosing the problem and healing it. ",200,Dr. Kannan,,General Physician
Nalam Diabetic Clinic,Chennai,"MD - General Medicine, MBBS",10,"My name is chandra and I consulted doctor for my mother Narayanamma,, He is understanding the situation and providing treatment. He never frustrated if we ask the more questions also. He is explaining and clearing all our doubts.",200,Dr. Jaiganesh Muruganandam,,General Physician
V Cure Hospital,Chennai,"MBBS, MD - Pharmacology",23,"The doctor is great but others services are poor. I took my aged mother with severe back pain . The doctor saw her and advised injection and other medications plus an ecg. The nurse took more than 40 minuets for ECG and they totally forgot about the injection. I asked the other nurse to check the prescription and get the injection immediately as she was in pain. We waited one hour to get the injection and another half an hour to see the doctor again with her ECG reports. Surprisingly it was not crowded and hardly four to five patients were there. I did not understand why the staff are so lethargic . But the doctor was pleasant and professional. The staff really need proper training.,Dr Ganesh Met him on 2018 Dec for general health check up suggestion he is one of the most polite Dr I have seen in chennai. ,We approached Dr. R. Ganesh for consultation for my mother who has diabetes since last 6 years. Dr. was quiet thorough in his checkup and understanding of the problems my mother is facing because of diabetes like joint pain. Apart from prescribing medicines, he also suggested a diet plan for my mother along with a few fitness activities which would help with diabetes. My mother was very satisfied with the visitation. We really appreciate doctor's help. I would recommend Dr. R. Ganesh.,The doctor is very friendly and he  addressed all the questions which i asked. He gave me brief explanation for every treatment which he gave me. I started living a better life after following the treatments of him. Nice, friendly ",300,Dr. R. Ganesh,4.5,General Physician
BSS Hospital,Chennai,MBBS,27,Fine perfect treatment no tablets for me as I m not a diabetic good advice to prevent diabetic fine good ,200,Dr. S. Nallaperumal,4.0,General Physician
Dr. Ananth's Homeo Clinic,Chennai,DHMS (Diploma in Homeopathic Medicine and Surgery),36,"I had Rheumatoid Arthritis in 2010 and every Allopathic doctor I went to said the only remedy for this disease is pain killers for the rest of my life. However, I was cured by Dr Vasudevan and till date, I don't have any pain or indication of the disease. ,I was suffering from very chronic Bronchitis and continuous fever for one year. After Dr Vasudevan's treatment , I am completely alright. Since then I have not taken any allopathic treatment since 2years. I sincerely refer everyone whom I know to take treatment for all ailments.  I am also taking Dr Vasudevan's treatment for Diabetes which is well under control,Felt improvement very fast,Wonderful medicines given by Dr.He cured my moms IBS problem  v.well which was not cured by any other medicines......Excellent human being too......millions of thanks to him.",500,Dr. V.Vasudevan,5.0,Homoeopath
VS Hospitals - Advanced Cancer Care,Chennai,MBBS,54,"There are no words to express his dedication towards medical field and his patients.Acccording to me , ,excellent doctor in the world., he is saving mass patients from contagious disease and curing them.As per my experience he is an all rounder in medical field.He is a specialist in most of the critical fields in medicology.He is a great General Physician which is a complementary to patients.He serves people like GOD'S messenger.,., He is very humble and polite with his patients and ensures they feel comfortable with him. He patiently answers all the queries we might have which gives high confidence to the patients. I would strongly recommend him for any kind of cancer treatments. , , Under chief Dr.Subramanian sir' guidance the expert doctors team lead by radiation oncologist Dr.Balasundaram sir' gave us , results for a stage 3 cervical cancer. We are so much thankful to the chief Dr. Subramanian sir and his team in VS hospital. ,Had a very bad experience with this hospital.the staff is not at all bothered about the patients.no coordination between doctor n staff.doctor mr.subramanian asked us to come n meet him the next day but staff were not allowing to meet him n telling blah blah reasons.very bad service.i will not recommend anyone here.in short my money n time is wasted.",1000,Dr. Prof. S. Subramanian,5.0,Oncologist
Parvathi Nursing Home,Chennai,MBBS,61,Very happy with treatment.Accurate diagnosis and treatment was give.Would definitely recommend to family and friends.,500,Dr. Chandra Barathan,5.0,General Physician
Chellam Hospital,Chennai,MD - Physician,12,,300,Dr. Samson Abraham,,General Physician
R K Clinic,Chennai,"MS - General Surgery, MBBS",12,I highly recommend the doctor. Very caring towards the patient and immediate response for appointment. He explained the health issue very clearly. I'm very much satisfied in the treatment. No wait time at all. Doctor is very friendly and diagnosed my pain and given me the best solution and best treatment.,100,Dr. Sasivannan,,Laparoscopic Surgeon
Mrc Medical Center : Children's Clinic And Immunisation Center,Chennai,MBBS,19,"Everytime I visit him ,he was too good in explaining each and every doubts of mine to take care of children’s wellness . ,Waiting time was too long during Saturday and the receptionist was not so kind in addressing the people came for enquiring of their next visit queue list maintained with her,He is the most sensible pediatrician we have had for our children. What I really love is his practical approach and prescribing strong medicines only if absolutely necessary. He always brings us (parents) to calm state of mind post consultation. Trust him to the fullest extent as my children's doctor. :) ,It was really good , he answers my every question and he takes ample time to connect with their patients, and explains very well ",300,Dr. E. Mahender,5.0,General Physician
Gee Ve Polyclinic,Chennai,MBBS,17,"very friendly and definitely cure for any severe cases of Back pain with Bulge and herniated disc.,I feel very comfortable to talk with Doctor. This helps  know more about My health problems.,Waiting time could have been shorter. However the doctor's friendly nature more than made up for this. He was kind enough to treat me as soon as he came. Thanks, simple and straight forward. No long waiting. Friendly staff. No unnecessary tests involved.",300,Dr. Manikandan Veluswami,4.5,General Physician
Kolathur Multi Speciality and Research Centre,Chennai,MBBS,12,"We r very much satisfied with that doctor. Because after consulting with him he gave some tablet and injection for 10 days. After 10 days we got good results by his treatment. So we are recommending him for diabetics.,Nice place both patients friendly.,good care staffs good.Environmental is par in excellent.,Over all mice experience. I feeling well after this treatment. Thank you kolathur hospital team.....,Very good and friendly doctor. He listening patience problems with patience and explaining medical issues and treatment. ",300,Dr. Bala Murugan,5.0,General Physician
Healthwise Clinic,Chennai,"MBBS, MD - General Medicine",25,"Very good doctor with deep knowledge. She understands problem and she will explain clearly about solution. Strongly recommend Dr shreevidya.,You happy with doctor treatment.very friendly and explains every thing very clearly. 100 % satisfied for the treatment.",500,Dr. Shreevidya Venkataraman,,General Physician
RSR'S Trinity Acute Care Hospital,Chennai,"MBBS, DNB - General Medicine",53,,300,Dr. A Rathnasabapathy,4.0,Internal Medicine
St.Isabel's Hospital,Chennai,MBBS,22," Very polite and professional. Blessed to have such a good pediatrician for my both daughters.,Dr. treatment is really good, He not give over dosage and fees also considerable. My child recovered very fast.,We really lucky to have prem sir as our children's pediatrician..... he have some magic in his hands... ",150,Dr. Premkumar,4.5,General Physician
J.K.Hospital,Chennai,MBBS,39,,250,Dr. J K Shankar,,General Physician
Prithvi Clinic,Chennai,MBBS,42,"3 days before I went to Dr.Kaveri and I didn't feel like I was taking to a doctor i felt like talking to my mom. Not only did she eliminate the pain but also went back 6 years in my life and found the root cause of it. She is simply amazing.. very friendly.. She talks to us and listens to even minute details. never rushes!! I'd suggest anyone to visit the doctor and I promise it's going to be the best experience I would write stories about how awesome she is but I'll let others visit her and know ,Excellent doctor I have seen in my life.. She will give treatment ",200,Dr. D. Kaveri,4.0,General Physician
Nirmal Clinic,Chennai,MBBS,38,,100,Dr. S. Deepak,,General Physician
Kkr Ent Hospital & Research Institute,Chennai,"MBBS, Diploma in Otorhinolaryngology (DLO)",59,"Not happy. ,Explained politely about the remedy to problems in a friendly manner and also listened very patiently about the problems first.,I Thank God for the excellent treatment given by Dr.KKR, Dr.Ravi Ramalingam and the junior doctors. I appreciate the investigation of the disease and the best medication given by the doctors. I came here for the skull base infection and seventh, tenth, eleventh and twelfth nerve palsy ie facial palsy with swallow problem. Now, I cured from skull base infection and best speech. I am sure, Very soon I will eat and swallow well with the help of swallowing therapist suggested by Dr. Ravi Ramalingam. I Thank DR.KKR and Dr.Ravi Ramalingam and entire team. Thanks a lot ,Very bad experience. Went there after seeing the review. My dad had a minor issue and was having pain whenever he opened his mouth, pain scale of 3-4 over 10. They did blood test for mandibular joint issue. They didn’t even explain the diagnosis ,neither did they explain what must be done. On top of that we had to wait almost 2 hrs for the consultation. And waited almost 1.5 hour for blood results ,We are going to see another doctor anyways.",500,Dr. K.K Ramalingam,4.5,General Physician
Sams Skin Clinic,Chennai,MBBS,,"I have been a patient of Doctor Samna Pramod for 7 years and she is a most empathetic, trustworthy , doctor. She is the only doctor, gave me a solution for managing over-pigmentation.,! ,I am sun and a from virugampakkam chennai!......! I am 45 years young!!... I had warts on my cheeks n around the neck!!....We searched for a DERMATOLOGIST in the net n traced  her as leading DERMATOLOGIST!.....,From the time I walked into the doctor’s office I was greeted with the beautiful smiles of her staff members. They were all very polite and very helpful. Dr.Samna Pramod  took time to listen to my health needs as well as took the time to answer the questions I had. This is the best experience I have had in a doctor's office. I felt like a person and not like someone sick. They didn't treat me like a disease, but treated me like any normal person.,Dr. Samna gave me and my daugher excellent treatment. My daughter visited her for Acne and I visted her for fungal infection treatment. She gave us the, medicines and gave us a big relief. She patiently listens when we have questions and advises in a very friendly manner.  I would definitely recommend her to my family and my friends.",500,Dr. Samna Pramod,5.0,Dermatologist
